wd18cd,wd18nm,lad18cd,lad18nm,Index of Multiple Deprivation,Barriers to Housing and Services,Crime,"Education, Skills and Training",Employment,Health and Disability,Income,Income Deprivation Affecting Children,Income Deprivation Affecting Older People,Living Environment
E05000783,Brinnington and Central,E08000007,Stockport,64.1,16.9,1.2,71.8,0.3,2.1,0.4,0.4,0.4,19.8
E05011371,Miles Platting & Newton Heath,E08000003,Manchester,62.4,25.8,1.7,59.7,0.3,1.7,0.3,0.4,0.4,22.5
E05011366,Harpurhey,E08000003,Manchester,58.5,26.4,2,44.9,0.2,1.7,0.3,0.4,0.4,28.3
E05000657,Halliwell,E08000001,Bolton,58.1,18.8,1.5,49.2,0.3,1.5,0.3,0.3,0.4,38.7
E05000719,Alexandra,E08000004,Oldham,57.3,16.1,1.5,64,0.2,1.2,0.3,0.3,0.4,35.3
E05000742,Central Rochdale,E08000005,Rochdale,56.8,21.2,1.4,52.4,0.3,1.2,0.4,0.3,0.5,36.8
E05011359,Clayton & Openshaw,E08000003,Manchester,56.7,26.1,1.4,43.2,0.2,1.7,0.3,0.4,0.4,29.9
E05000768,Langworthy,E08000006,Salford,56,19.3,1.6,52,0.2,1.8,0.3,0.4,0.3,37.1
E05000769,Little Hulton,E08000006,Salford,52.9,22.2,0.8,50.8,0.2,1.5,0.3,0.4,0.3,12.3
E05000723,Coldhurst,E08000004,Oldham,52.8,18.3,1.1,57.1,0.2,1.1,0.4,0.3,0.5,22.8
E05000761,Broughton,E08000006,Salford,51.7,25.3,1.2,52.4,0.2,1.5,0.3,0.3,0.4,21
E05000753,Smallbridge and Firgrove,E08000005,Rochdale,51.5,24.7,1.3,50.2,0.2,1.4,0.3,0.3,0.3,13
E05000748,Milkstone and Deeplish,E08000005,Rochdale,51,23.3,1.2,43.5,0.2,1.1,0.3,0.3,0.5,34.8
E05011365,Gorton & Abbey Hey,E08000003,Manchester,51,26.6,1.6,37.6,0.2,1.3,0.3,0.3,0.3,40.2
E05000758,West Middleton,E08000005,Rochdale,50.5,19.6,1,50.8,0.2,1.4,0.3,0.3,0.3,11.5
E05011381,Woodhouse Park,E08000003,Manchester,50.5,26.1,0.9,46.7,0.2,1.8,0.3,0.3,0.3,20.3
E05000735,St Mary's,E08000004,Oldham,50.4,15,1.1,63.9,0.2,1,0.3,0.3,0.4,35
E05000816,St Peter's,E08000008,Tameside,50.3,18.2,1,42.2,0.2,1.6,0.3,0.3,0.4,39.4
E05011355,Charlestown,E08000003,Manchester,50.2,24.6,1.5,42.6,0.2,1.4,0.3,0.4,0.3,19.2
E05000655,Farnworth,E08000001,Bolton,49.4,14.1,1.6,44.1,0.2,1.3,0.3,0.4,0.3,30.5
E05011378,Sharston,E08000003,Manchester,48.6,25.3,1,44.1,0.2,1.7,0.3,0.4,0.3,20
E05000727,Hollinwood,E08000004,Oldham,48.5,11.2,1.3,61.1,0.2,1.1,0.3,0.4,0.3,31.4
E05011367,Higher Blackley,E08000003,Manchester,48.4,25.8,1.4,34.6,0.2,1.4,0.3,0.3,0.3,23
E05000738,Werneth,E08000004,Oldham,47.7,14,1.2,51.9,0.2,0.9,0.3,0.3,0.5,34.8
E05000766,Irwell Riverside,E08000006,Salford,46.9,21.7,1.5,44.1,0.2,1.6,0.3,0.4,0.4,25.8
E05011370,Longsight,E08000003,Manchester,46.8,29.2,1.2,39.5,0.2,1.2,0.3,0.3,0.5,32.4
E05011352,Baguley,E08000003,Manchester,46.3,23.4,0.8,39.7,0.2,1.8,0.3,0.3,0.3,18.8
E05011350,Ancoats & Beswick,E08000003,Manchester,46.2,26.4,1.5,34.1,0.1,1.7,0.2,0.4,0.5,30.9
E05000739,Balderstone and Kirkholt,E08000005,Rochdale,46.1,22.3,1.1,42,0.2,1.2,0.3,0.3,0.3,15.1
E05011372,Moss Side,E08000003,Manchester,45.7,27.2,1.1,29.8,0.2,1.1,0.3,0.4,0.6,37.7
E05000654,Crompton,E08000001,Bolton,44.8,14.4,1,40.6,0.2,1,0.3,0.3,0.4,40.6
E05000746,Kingsway,E08000005,Rochdale,44.7,22.1,1.3,37.7,0.2,1,0.3,0.3,0.3,25
E05000851,Ince,E08000010,Wigan,44.5,15.7,1.1,53.1,0.2,1.3,0.3,0.3,0.3,14.5
E05011351,Ardwick,E08000003,Manchester,44.5,29.1,1,31.6,0.2,1.6,0.2,0.3,0.6,29.5
E05000665,Rumworth,E08000001,Bolton,44.4,15.7,1.1,41.7,0.2,0.7,0.3,0.3,0.5,36.9
E05000854,Leigh West,E08000010,Wigan,43.7,13.4,1.4,42.4,0.2,1.1,0.2,0.3,0.2,28.6
E05000672,East,E08000002,Bury,43.5,19.9,1.3,39.9,0.2,0.8,0.2,0.3,0.3,37.1
E05000755,Spotland and Falinge,E08000005,Rochdale,43.4,18.1,1.4,37.6,0.2,1.1,0.3,0.3,0.3,21.6
E05011356,Cheetham,E08000003,Manchester,43.3,31,1.4,29.8,0.1,1.1,0.3,0.3,0.6,29.2
E05000656,Great Lever,E08000001,Bolton,43,15.4,1.2,39.4,0.2,0.9,0.3,0.3,0.4,32
E05011374,Northenden,E08000003,Manchester,42.8,24.7,1.1,32.9,0.2,1.4,0.2,0.3,0.3,24.9
E05000675,Moorside,E08000002,Bury,42.7,15.1,1,39.4,0.2,1,0.3,0.3,0.3,29.3
E05000759,Barton,E08000006,Salford,42.6,16,1,32.9,0.2,1.5,0.2,0.3,0.3,34.1
E05000824,Bucklow-St Martins,E08000009,Trafford,42.5,20.1,0.7,42.6,0.2,1.1,0.3,0.3,0.2,15.8
E05000857,Pemberton,E08000010,Wigan,42.4,15.2,0.9,53.5,0.2,1.2,0.2,0.3,0.3,8.3
E05000774,Walkden North,E08000006,Salford,42.3,18.3,1.2,38.5,0.2,1.1,0.2,0.3,0.2,20.2
E05011360,Crumpsall,E08000003,Manchester,42.2,27.7,1.3,26.7,0.2,1,0.2,0.2,0.4,35.2
