msoa21cd,msoa21nm,index_domain,msoa_average_score,msoa_average_score_rank
E02001259,Old Trafford,Barriers to Housing and Services,17.565113488064757,3
E02001259,Old Trafford,Crime,0.6790464194267779,2
E02001259,Old Trafford,"Education, Skills and Training",22.236756669695218,2
E02001259,Old Trafford,Employment,0.20536781880382213,2
E02001259,Old Trafford,Health and Disability,0.8929420996117947,2
E02001259,Old Trafford,Income,0.4169594449492029,2
E02001259,Old Trafford,Income Deprivation Affecting Children,0.5480450097847358,2
E02001259,Old Trafford,Income Deprivation Affecting Older People,0.5641891891891891,1
E02001259,Old Trafford,Index of Multiple Deprivation,36.46133410423722,2
E02001259,Old Trafford,Living Environment,42.18869761295118,2
E02001260,Trafford Park West & Kingsway Park,Barriers to Housing and Services,5.949967695714472,28
E02001260,Trafford Park West & Kingsway Park,Crime,-0.2517212452781034,17
E02001260,Trafford Park West & Kingsway Park,"Education, Skills and Training",8.28178051322131,13
E02001260,Trafford Park West & Kingsway Park,Employment,0.10462764578833694,15
E02001260,Trafford Park West & Kingsway Park,Health and Disability,-0.24882063305978896,15
E02001260,Trafford Park West & Kingsway Park,Income,0.1168720854500456,14
E02001260,Trafford Park West & Kingsway Park,Income Deprivation Affecting Children,0.1409044673539519,14
E02001260,Trafford Park West & Kingsway Park,Income Deprivation Affecting Older People,0.10338147268408551,17
E02001260,Trafford Park West & Kingsway Park,Index of Multiple Deprivation,11.164102644262082,15
E02001260,Trafford Park West & Kingsway Park,Living Environment,25.72376670574443,14
E02001261,Gorse Hill,Barriers to Housing and Services,10.307532210109018,13
E02001261,Gorse Hill,Crime,0.31091542781631976,7
E02001261,Gorse Hill,"Education, Skills and Training",17.76100792864222,5
E02001261,Gorse Hill,Employment,0.1574211125569291,7
E02001261,Gorse Hill,Health and Disability,0.3067575156921044,6
E02001261,Gorse Hill,Income,0.287380574826561,4
E02001261,Gorse Hill,Income Deprivation Affecting Children,0.4390969207470975,3
E02001261,Gorse Hill,Income Deprivation Affecting Older People,0.2164833720030936,8
E02001261,Gorse Hill,Index of Multiple Deprivation,23.74228939544103,5
E02001261,Gorse Hill,Living Environment,38.39902015196564,4
E02001262,Firswood,Barriers to Housing and Services,11.48945030563731,11
E02001262,Firswood,Crime,0.2891650441476115,8
E02001262,Firswood,"Education, Skills and Training",16.810370387140594,6
E02001262,Firswood,Employment,0.1623539634687001,6
E02001262,Firswood,Health and Disability,0.1674507584333258,9
E02001262,Firswood,Income,0.2814609463436722,5
E02001262,Firswood,Income Deprivation Affecting Children,0.33585479597244305,6
E02001262,Firswood,Income Deprivation Affecting Older People,0.3143460410557185,2
E02001262,Firswood,Index of Multiple Deprivation,22.775470681458003,7
E02001262,Firswood,Living Environment,30.193284469096675,10
E02001263,Davyhulme,Barriers to Housing and Services,8.366780505243089,20
E02001263,Davyhulme,Crime,-0.38451668255481414,18
E02001263,Davyhulme,"Education, Skills and Training",3.817848307912297,15
E02001263,Davyhulme,Employment,0.07028235053235053,18
E02001263,Davyhulme,Health and Disability,-0.4297914680648237,17
E02001263,Davyhulme,Income,0.08193851286939942,20
E02001263,Davyhulme,Income Deprivation Affecting Children,0.10960218508997431,15
E02001263,Davyhulme,Income Deprivation Affecting Older People,0.060688995215311,26
E02001263,Davyhulme,Index of Multiple Deprivation,6.914470686367969,21
E02001263,Davyhulme,Living Environment,20.12248319828408,16
E02001264,Trafford Park East & Sevenways,Barriers to Housing and Services,11.815556692913384,8
E02001264,Trafford Park East & Sevenways,Crime,-0.08168965129358831,14
