election_date,ward_code,ward_name,candidate_surname,candidate_forenames,candidate_commonly_used_surname,candidate_commonly_used_forenames,candidate_description,political_party_uri,political_party_name,election_result,votes_won,votes_cast,eligible_electorate,turnout
2022-05-05,E05000819,Altrincham,CHINTHALA,Anand Rao,NA,NA,The Conservative Party Candidate,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,NOT ELECTED,947,3883,9057,42.9
2022-05-05,E05000819,Altrincham,JERROME,Dan,NA,NA,Green Party,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,ELECTED,2354,3883,9057,42.9
2022-05-05,E05000819,Altrincham,LOVELL,Christopher John,NA,NA,Liberal Democrats,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,NOT ELECTED,103,3883,9057,42.9
2022-05-05,E05000819,Altrincham,SLATER,Benjamin Duncan,NA,NA,Labour Party,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,NOT ELECTED,469,3883,9057,42.9
2022-05-05,E05000820,Ashton upon Mersey,DWYER,Kay Georgette,NA,NA,The Conservative Party Candidate,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,NOT ELECTED,1411,3702,7633,48.5
2022-05-05,E05000820,Ashton upon Mersey,KIERMAN,David Joseph,NA,NA,Liberal Democrats,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,NOT ELECTED,148,3702,7633,48.5
2022-05-05,E05000820,Ashton upon Mersey,O'BRIEN,Tony,NA,NA,Labour Party,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,ELECTED,1848,3702,7633,48.5
2022-05-05,E05000820,Ashton upon Mersey,ROBERTSON-BROWN,Caroline Louise,NA,NA,Green Party,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,NOT ELECTED,292,3702,7633,48.5
2022-05-05,E05000821,Bowdon,HAGUE,Thomas Robert,NA,NA,Labour Party,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,NOT ELECTED,450,3136,7274,43.1
2022-05-05,E05000821,Bowdon,TOLHURST-CLEAVER,Ludo,NA,NA,Liberal Democrats,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,NOT ELECTED,221,3136,7274,43.1
