ward,councillor_name,councillor_party,councillor_party_label,elected_year,elected_ordinal
Altrincham,"WELTON, Michael John",Green Party,Green Party,2019,1
Altrincham,"COGGINS, Geraldine Philomena",Green Party,Green Party,2021,2
Altrincham,"JERROME, Dan",Green Party,Green Party,2022,3
Ashton upon Mersey,"HARTLEY, Benjamin",Labour Party,Labour Party,2019,1
Ashton upon Mersey,"GILBERT, Shona Jane",Labour Party,Labour Party,2021,2
Ashton upon Mersey,"O'BRIEN, Tony",Labour Party,Labour Party,2022,3
Bowdon,"MIRZA, Mussadak",Conservative Party,Conservative Party,2021,1
Bowdon,"WHETTON, Michael Peter",Conservative Party,Conservative Party,2021,2
Bowdon,"ZHI, Shengke",Conservative Party,Conservative Party,2022,3
Broadheath,"CARR, Serena",Labour Party,Labour Party,2019,1
Broadheath,"WESTERN, Denise Ailsa",Labour Party,Labour Party,2021,2
Broadheath,"WHYTE, Amy Marie",Labour Party,Labour Party,2022,3
Brooklands,"THOMPSON, Rose",Labour Party,Labour Party,2019,1
Brooklands,"BOYES, Christopher John [Chris]",Conservative Party,Conservative Party,2021,2
Brooklands,"JONES, Will",Labour Party,Labour Party,2022,3
Bucklow-St Martins,"WILLIAMS, Aidan James",Labour Party,Labour Party,2019,1
Bucklow-St Martins,"WRIGHT, James Alexander",Labour Party,Labour Party,2021,2
Bucklow-St Martins,"NEW, Adele Louise",Labour Party,Labour and Co-operative Party,2022,3
Clifford,"AKINOLA, Akilah",Labour Party,Labour Party,2019,1
Clifford,"HASSAN, Waseem",Labour Party,Labour Party,2021,2
Clifford,"TAYLOR, Sophie Rachel",Labour Party,Labour Party,2022,3
Davyhulme East,"WINSTANLEY, Barry Gerard",Labour Party,Labour Party,2019,1
Davyhulme East,"AXFORD, Jill Margaret",Labour Party,Labour Party,2021,2
Davyhulme East,"PROCTER, Shirley Blair",Labour Party,Labour Party,2022,3
Davyhulme West,"CARTER, Karina Gay",Labour Party,Labour Party,2019,1
Davyhulme West,"MAITLAND, Susan Ann [Sue]",Labour Party,Labour Party,2021,2
Davyhulme West,"WHITHAM, Graham",Labour Party,Labour Party,2022,3
Flixton,"CARTER, Gerard Anthony [Ged]",Labour Party,Labour Party,2021,1
Flixton,"O’SULLIVAN, Dolores Catherine",Labour Party,Labour Party,2021,2
Flixton,"THOMAS, Simon Garfield",Labour Party,Labour Party,2022,3
Gorse Hill,"WALSH, Laurence James",Labour Party,Labour Party,2021,1
Gorse Hill,"ACTON, David",Labour Party,Labour Party,2022,2
Gorse Hill,"HORNBY, Fianna Frances Ritchen",Labour Party,Labour Party,2022,3
Hale Barns,"MORGAN, David James",Conservative Party,Conservative Party,2019,1
Hale Barns,"MYERS, Patrick John",Conservative Party,Conservative Party,2021,2
Hale Barns,"BUTT, Dylan",Conservative Party,Conservative Party,2022,3
Hale Central,"YOUNG, Patricia Beatrix",Conservative Party,Conservative Party,2019,1
Hale Central,"CHALKIN, David Nathan",Conservative Party,Conservative Party,2021,2
Hale Central,"LEICESTER, Jane Frances",Green Party,Green Party,2022,3
Longford,"HAUGHEY, Sarah Jane",Labour Party,Labour Party,2021,1
Longford,"LLOYD, Judith Ann",Labour Party,Labour Party,2021,2
Longford,"JARMAN, David Paul",Labour Party,Labour Party,2022,3
Priory,"WESTERN, Andrew Howard",Labour Party,Labour Party,2019,1
Priory,"BROTHERTON, Barry",Labour Party,Labour Party,2021,2
Priory,"DAGNALL, Louise Diane",Labour Party,Labour Party,2022,3
Sale Moor,"BENNETT, Joanne Mary",Labour Party,Labour and Co-operative Party,2019,1
Sale Moor,"FREEMAN, Michael Edward [Mike]",Labour Party,Labour Party,2021,2
Sale Moor,"PATEL, Liz",Labour Party,Labour Party,2022,3
St Mary's,"BUNTING, Daniel Edward",Conservative Party,Conservative Party,2019,1
St Mary's,"HOLDEN, John Charles",Conservative Party,Conservative Party,2021,2
St Mary's,"DUNCAN, Rob",Conservative Party,Conservative Party,2022,3
Stretford,"ADSHEAD, Stephen Anthony",Labour Party,Labour Party,2019,1
Stretford,"ROSS, Tom William",Labour Party,Labour Party,2021,2
Stretford,"SLATER, Jane Winifred",Labour Party,Labour Party,2022,3
Timperley,"MINNIS, Meenakshi",Liberal Democrats,Liberal Democrats,2019,1
Timperley,"BROPHY, Jane Elisabeth",Liberal Democrats,Liberal Democrats,2021,2
Timperley,"FRASS, Will",Liberal Democrats,Liberal Democrats,2022,3
Urmston,"HARDING, Joanne",Labour Party,Labour and Co-operative Party,2019,1
Urmston,"HYNES, Catherine Louise",Labour Party,Labour Party,2021,2
Urmston,"PROCTER, Kevin Alan",Labour Party,Labour Party,2022,3
Village,"NEWGROSH, Julian David",Liberal Democrats,Liberal Democrats,2019,1
Village,"BLACKBURN, Linda Louise",Conservative Party,Conservative Party,2021,2
Village,"ENNIS, Shaun Gavin",Liberal Democrats,Liberal Democrats,2022,3
