area_name,country_of_birth,value,order
Old Trafford,Europe: United Kingdom: Total,6435,0
Old Trafford,Europe: Channel Islands not otherwise specified,1,3
Old Trafford,Europe: Isle of Man,5,4
Old Trafford,Europe: Ireland,179,5
Old Trafford,Europe: Other Europe: EU countries: Member countries in March 2001: France,12,6
Old Trafford,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,42,7
Old Trafford,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,14,8
Old Trafford,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,9,9
Old Trafford,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),15,10
Old Trafford,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,96,11
Old Trafford,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,11,12
Old Trafford,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,327,13
Old Trafford,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,16,14
Old Trafford,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,84,15
Old Trafford,Europe: Other Europe: Rest of Europe: Turkey,4,16
Old Trafford,Europe: Other Europe: Rest of Europe: Other Europe,22,17
Old Trafford,Africa: Central and Western Africa: Ghana,23,18
Old Trafford,Africa: Central and Western Africa: Nigeria,84,19
Old Trafford,Africa: Central and Western Africa: Other Central and Western Africa,68,20
Old Trafford,Africa: South and Eastern Africa: Kenya,43,21
Old Trafford,Africa: South and Eastern Africa: Somalia,197,22
Old Trafford,Africa: South and Eastern Africa: South Africa,28,23
Old Trafford,Africa: South and Eastern Africa: Zimbabwe,32,24
Old Trafford,Africa: South and Eastern Africa: Other South and Eastern Africa,146,25
Old Trafford,Africa: Africa not otherwise specified,6,26
Old Trafford,Middle East and Asia: Middle East: Iran,34,27
Old Trafford,Middle East and Asia: Middle East: Other Middle East,99,28
Old Trafford,Middle East and Asia: Eastern Asia: China,45,29
Old Trafford,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),17,30
Old Trafford,Middle East and Asia: Eastern Asia: Other Eastern Asia,14,31
Old Trafford,Middle East and Asia: Southern Asia: Bangladesh,49,32
Old Trafford,Middle East and Asia: Southern Asia: India,557,33
Old Trafford,Middle East and Asia: Southern Asia: Pakistan,538,34
Old Trafford,Middle East and Asia: Southern Asia: Sri Lanka,13,35
Old Trafford,Middle East and Asia: Southern Asia: Other Southern Asia,117,36
Old Trafford,Middle East and Asia: South-East Asia: Philippines,3,37
Old Trafford,Middle East and Asia: South-East Asia: Other South-East Asia,66,38
Old Trafford,Middle East and Asia: Central Asia,1,39
Old Trafford,The Americas and the Caribbean: North America: United States,22,40
Old Trafford,The Americas and the Caribbean: North America: Other North America,9,41
Old Trafford,The Americas and the Caribbean: Central America,7,42
Old Trafford,The Americas and the Caribbean: South America,33,43
Old Trafford,The Americas and the Caribbean: The Caribbean: Jamaica,395,44
Old Trafford,The Americas and the Caribbean: The Caribbean: Other Caribbean,81,45
Old Trafford,Antarctica and Oceania: Australasia: Australia,12,47
Old Trafford,Antarctica and Oceania: Australasia: Other Australasia,5,48
Old Trafford,Antarctica and Oceania: Other Oceania,2,49
Trafford Park West & Kingsway Park,Europe: United Kingdom: Total,7169,0
Trafford Park West & Kingsway Park,Europe: Jersey,1,2
Trafford Park West & Kingsway Park,Europe: Isle of Man,5,4
Trafford Park West & Kingsway Park,Europe: Ireland,150,5
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Member countries in March 2001: France,6,6
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,10,7
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,2,8
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,1,9
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),4,10
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,7,11
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,1,12
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,3,13
Trafford Park West & Kingsway Park,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,19,15
Trafford Park West & Kingsway Park,Europe: Other Europe: Rest of Europe: Turkey,4,16
Trafford Park West & Kingsway Park,Europe: Other Europe: Rest of Europe: Other Europe,12,17
