area_name,registration_period,nationality,value
Trafford,2002,European Union,211
Trafford,2003,European Union,250
Trafford,2004,European Union,443
Trafford,2005,European Union,889
Trafford,2006,European Union,925
Trafford,2007,European Union,1090
Trafford,2008,European Union,693
Trafford,2009,European Union,463
Trafford,2010,European Union,474
Trafford,2011,European Union,569
Trafford,2012,European Union,448
Trafford,2013,European Union,685
Trafford,2014,European Union,878
Trafford,2015,European Union,903
Trafford,2016,European Union,867
Trafford,2017,European Union,622
Trafford,2018,European Union,560
Trafford,2019,European Union,637
Trafford,2020,European Union,110
Trafford,2021,European Union,110
Trafford,2002,Non-European Union (Other Europe),40
Trafford,2003,Non-European Union (Other Europe),34
Trafford,2004,Non-European Union (Other Europe),19
Trafford,2005,Non-European Union (Other Europe),28
Trafford,2006,Non-European Union (Other Europe),28
Trafford,2007,Non-European Union (Other Europe),26
Trafford,2008,Non-European Union (Other Europe),23
Trafford,2009,Non-European Union (Other Europe),25
Trafford,2010,Non-European Union (Other Europe),22
Trafford,2011,Non-European Union (Other Europe),21
Trafford,2012,Non-European Union (Other Europe),17
Trafford,2013,Non-European Union (Other Europe),15
Trafford,2014,Non-European Union (Other Europe),26
Trafford,2015,Non-European Union (Other Europe),22
Trafford,2016,Non-European Union (Other Europe),25
Trafford,2017,Non-European Union (Other Europe),19
Trafford,2018,Non-European Union (Other Europe),27
Trafford,2019,Non-European Union (Other Europe),48
Trafford,2020,Non-European Union (Other Europe),32
Trafford,2021,Non-European Union (Other Europe),24
Trafford,2002,Asia,374
Trafford,2003,Asia,301
Trafford,2004,Asia,317
Trafford,2005,Asia,384
Trafford,2006,Asia,338
Trafford,2007,Asia,468
Trafford,2008,Asia,411
Trafford,2009,Asia,347
Trafford,2010,Asia,405
Trafford,2011,Asia,412
Trafford,2012,Asia,213
Trafford,2013,Asia,294
Trafford,2014,Asia,304
Trafford,2015,Asia,341
Trafford,2016,Asia,345
Trafford,2017,Asia,318
Trafford,2018,Asia,325
Trafford,2019,Asia,479
Trafford,2020,Asia,322
Trafford,2021,Asia,126
Trafford,2002,Rest of the World,248
Trafford,2003,Rest of the World,266
Trafford,2004,Rest of the World,222
Trafford,2005,Rest of the World,275
Trafford,2006,Rest of the World,233
Trafford,2007,Rest of the World,210
Trafford,2008,Rest of the World,205
Trafford,2009,Rest of the World,179
Trafford,2010,Rest of the World,163
Trafford,2011,Rest of the World,170
Trafford,2012,Rest of the World,119
Trafford,2013,Rest of the World,123
Trafford,2014,Rest of the World,141
Trafford,2015,Rest of the World,145
Trafford,2016,Rest of the World,138
Trafford,2017,Rest of the World,115
Trafford,2018,Rest of the World,138
Trafford,2019,Rest of the World,183
Trafford,2020,Rest of the World,101
Trafford,2021,Rest of the World,72
